시군명,사업장명,인허가일자,영업상태명,입소정원(명),자격소유인원수(명),총인원수(명),소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
이천시,엘리엘동산,19991230,운영중,60,0,29,경기도 이천시 마장면 이장로 256,경기도 이천시 마장면 장암리 584-1번지,17383,37.2739086454,127.3872987649
이천시,주라쉼터,20011229,운영중,50,6,45,경기도 이천시 부발읍 죽당로 227-19,경기도 이천시 부발읍 죽당리 307-3번지,17320,37.2815192243,127.5143157983
이천시,양무리마을,20030916,운영중,35,1,3,,경기도 이천시 대월면 군량리,17402,37.1890136257,127.4945569375
이천시,새 생명의 집,20080317,운영중,60,0,38,경기도 이천시 모가면 공원로 288-70,경기도 이천시 모가면 원두리 371번지,17407,37.1793710565,127.4681556070
파주시,큰나무,20100422,운영중,30,,,경기도 파주시 법원읍 술이홀로1333번길 69,경기도 파주시 법원읍 금곡리 428-1번지,10806,37.8831034982,126.8754678161
파주시,아름다운누리,19920601,운영중,64,6,42,경기도 파주시 법원읍 술이홀로1333번길 69,경기도 파주시 법원읍 금곡리 428-1번지,10806,37.8831034982,126.8754678161
파주시,금빛사랑의집,20140811,운영중,10,2,4,,경기도 파주시 조리읍 금빛사랑의집,,37.7535166238,126.8237766392
평택시,아나율의집,20131011,운영중,30,,23,경기도 평택시 포승읍 절골길 43-1,경기도 평택시 포승읍 석정리 1-6번지,17814,37.0078744535,126.8971336390
포천시,생수의집,20051212,운영중,56,19,37,경기도 포천시 군내면 청군로 2813-18,경기도 포천시 군내면 직두리 155-5번지,11155,37.8662537833,127.2505149839
포천시,노아의집,19971226,운영중,70,0,28,경기도 포천시 신북면 청신로 1095,경기도 포천시 신북면 갈월리 441번지,11137,37.9536881093,127.1410562196
화성시,브니엘복지원,20051229,운영중,13,1,3,,경기도 화성시 팔탄면 덕천리,,37.1460578326,126.8759043139
화성시,화성아름마을,20030806,운영중,35,14,20,경기도 화성시 송산면 공룡로264번길 16,경기도 화성시 송산면 쌍정리 1000번지,18547,37.2336790369,126.7330934517
화성시,불이원,20090218,운영중,48,27,15,경기도 화성시 남양읍 현대기아로 648,경기도 화성시 북양동 620번지,18255,37.2054120166,126.8547962971
화성시,둘다섯해누리,20080908,운영중,80,7,16,경기도 화성시 서신면 밸미길 87-31,경기도 화성시 서신면 백미리 588-1번지,18556,37.1399391539,126.6941806937

