시군명,사업장명,인허가일자,영업상태명,입소정원(명),자격소유인원수(명),총인원수(명),소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
부천시,물댄동산장애인주간보호시설,20121211,운영중,10,,,경기도 부천시 경인로392번길 25,경기도 부천시 소사본동 다상빌라 102호,14692,37.4808152464,126.7993191760
부천시,안다미장애인주간보호시설,20151224,운영중,10,2,,,경기도 부천시 상동,,37.4950073563,126.7574183549
부천시,그루터기장애인주간보호시설,20070801,운영중,10,4,3,경기도 부천시 상동로 109,경기도 부천시 상동 상동프라자 405호,14543,37.5071522714,126.7529112037
부천시,물댄동산장애인주간보호시설,20121210,운영중,10,4,,경기도 부천시 경인로392번길 25,경기도 부천시 소사본동 63-10번지 다상빌라102호,14692,37.4808152464,126.7993191760
부천시,하늘아래장애인주간보호시설,20111116,운영중,20,5,,경기도 부천시 범안로 54,경기도 부천시 괴안동 그린홈프라자 303호,14697,37.4769548029,126.8075146912
부천시,희망장애인주간보호시설,20110422,운영중,10,3,,경기도 부천시 부천로86번길 18,경기도 부천시 심곡동 119-2번지,14573,37.4912321596,126.7849643604
부천시,실로암장애인주간보호시설,20080204,운영중,20,3,3,경기도 부천시 소향로 25,경기도 부천시 상동 서해프라자 801호,14544,37.5038676414,126.7505471903
부천시,엘린장애인주간보호시설,20101231,운영중,10,3,3,경기도 부천시 길주로 270,경기도 부천시 중동 1148-2번지,14548,37.5029023498,126.7719700862
성남시,판교장애인주간보호센터,20160513,운영중,20,4,,,경기도 성남시 분당구 판교동,,37.3928619325,127.0972210529
성남시,서호주간센터,20161101,운영중,15,,,,경기도 성남시 수정구 복정동,,37.4657394691,127.1389664198
성남시,성남행복누리센터,20150204,운영중,16,,,,경기도 성남시 중원구 도촌동 도촌종합사회복지관 2층,,37.4208025076,127.1569374702
성남시,우리주간보호센터,20141211,운영중,30,,,,경기도 성남시 분당구 서현동 909호,,37.3783067704,127.1382889436
성남시,마음톡톡센터,20150421,운영중,16,,,,경기도 성남시 분당구 구미동,,37.3456022362,127.1096663508
성남시,성남행복누리센터,20150203,운영중,17,,,,경기도 성남시 중원구 도촌동,,37.4208025076,127.1569374702
성남시,마음톡톡센터,20141201,운영중,15,,,,경기도 성남시 분당구 구미동 501호,,37.3370098142,127.1249105801
성남시,우리주간보호시설,20130830,운영중,16,,4,,경기도 성남시 중원구 금광동,,37.4555120641,127.1615068590
성남시,한마음주간보호센터,20110926,운영중,40,7,,,경기도 성남시 분당구 야탑동,,37.4160720539,127.1263829614
성남시,사랑의 학교,20110414,운영중,40,5,,경기도 성남시 분당구 야탑로 245,경기도 성남시 분당구 야탑동 목련프라자 4층,13508,37.4071661964,127.1458519163
성남시,한우리 장애인 주간보호센터,19980909,운영중,50,0,9,경기도 성남시 중원구 순환로226번길 8,경기도 성남시 중원구 상대원동 64-1번지,13204,37.4434936391,127.1799009404
성남시,말아톤주간보호센터,20061030,운영중,30,3,3,경기도 성남시 분당구 내정로17번길 8,경기도 성남시 분당구 정자동 131-1번지,13612,37.3618080684,127.1134030667
시흥시,늘푸름장애인주간보호시설,20160308,운영중,12,4,4,경기도 시흥시 중심상가4길 32,경기도 시흥시 정왕동 1744-7번지 제일빌딩 3층,15066,37.3427196688,126.7365521053
시흥시,시흥시주간보호시설,20080618,운영중,40,3,5,,경기도 시흥시 논곡동 산 19번지,,37.3951110489,126.8602059338
시흥시,대야장애인주간보호시설,20121015,운영중,15,,3,,경기도 시흥시 대야동,,37.4567185342,126.8022100706
시흥시,시흥유린원광장애인주간보호시설,20140507,운영중,20,4,4,,경기도 시흥시 미산동,,37.4150060487,126.7745558648
