구별,구분명,시설명,,,,,,,,,,,
관악구,수화통역센터,관악구수화통역센터,,,,,,,,,,,
관악구,주간보호시설,꿈터,,,,,,,,,,,
관악구,주간보호시설,꿈터,,,,,,,,,,,
관악구,주간보호시설,꿈터2,,,,,,,,,,,
관악구,거주(유형별＊중증＊영유아)시설,도란도란,,,,,,,,,,,
관악구,주간보호시설,실로암,,,,,,,,,,,
관악구,복지관,실로암시각장애인복지관,,,,,,,,,,,
관악구,거주(유형별＊중증＊영유아)시설,실로암요양원,,,,,,,,,,,
광진구,수화통역센터,광진구수화통역센터,,,,,,,,,,,
광진구,단기보호시설,군자작은예수의집,,,,,,,,,,,
광진구,주간보호시설,정립주간보호,,,,,,,,,,,
광진구,복지관,정립회관,,,,,,,,,,,
광진구,복지관,정립회관,,,,,,,,,,,
광진구,주간보호시설,하나인주간보호센터,,,,,,,,,,,
광진구,주간보호시설,희망의 학교,,,,,,,,,,,
광진구,주간보호시설,희망하우스,,,,,,,,,,,
구로구,수화통역센터,구로구수화통역센터,,,,,,,,,,,
구로구,거주(유형별＊중증＊영유아)시설,다산하늘센터,,,,,,,,,,,
구로구,주간보호시설,민들레쉼터장애인주간보호시설,,,,,,,,,,,
구로구,복지관,성프란치스코장애인종합복지관,,,,,,,,,,,
구로구,주간보호시설,양지골,,,,,,,,,,,
구로구,복지관,에덴장애인종합복지관,,,,,,,,,,,
구로구,주간보호시설,예은,,,,,,,,,,,
구로구,주간보호시설,예은장애인주간보호시설,,,,,,,,,,,
" 5626번 타고 궁동입구(2번째 정류장)에서 하차 육교건너 골목길로 100미터 GS 25시 뒤건물""""",185318.588,443852.7632,,,,,,,,,,,
구로구,주간보호시설,좋은친구,,,,,,,,,,,
구로구,주간보호시설,좋은친구 장애인주간보호센터,,,,,,,,,,,
구로구,주간보호시설,하늘아래,,,,,,,,,,,
구로구,주간보호시설,햇살터,,,,,,,,,,,
구로구,주간보호시설,햇살터,,,,,,,,,,,
구로구,단기보호시설,헬렌의집,,,,,,,,,,,
금천구,수화통역센터,금천구수화통역센터,,,,,,,,,,,
금천구,단기보호시설,금천단기보호센터,,,,,,,,,,,
금천구,복지관,금천장애인종합복지관,,,,,,,,,,,
금천구,주간보호시설,별바라기 주간보호,,,,,,,,,,,
금천구,주간보호시설,시흥3동장애인주간보호센터,,,,,,,,,,,
금천구,주간보호시설,청락원,,,,,,,,,,,
금천구,주간보호시설,하누리,,,,,,,,,,,
노원구,주간보호시설,가브리엘 주간보호센터,,,,,,,,,,,
노원구,주간보호시설,노원1장애인,,,,,,,,,,,
노원구,수화통역센터,노원수화통역센터,,,,,,,,,,,
노원구,주간보호시설,노원시각장애인,,,,,,,,,,,
노원구,거주(유형별＊중증＊영유아)시설,늘편한집,,,,,,,,,,,
노원구,주간보호시설,다운,,,,,,,,,,,
노원구,복지관,다운복지관,,,,,,,,,,,
노원구,거주(유형별＊중증＊영유아)시설,대린원,,,,,,,,,,,
노원구,주간보호시설,동천,,,,,,,,,,,
노원구,거주(유형별＊중증＊영유아)시설,동천요양원,,,,,,,,,,,
노원구,거주(유형별＊중증＊영유아)시설,동천의집,,,,,,,,,,,
노원구,재활체육시설,동천재활체육센터,,,,,,,,,,,
노원구,단기보호시설,동천학원,,,,,,,,,,,
노원구,주간보호시설,베데스다 주간보호소,,,,,,,,,,,
노원구,주간보호시설,북부장애인,,,,,,,,,,,
노원구,단기보호시설,사랑샘 단기보호소,,,,,,,,,,,
노원구,복지관,서울시립북부장애인종합복지관,,,,,,,,,,,
노원구,복지관,서울시립상이군경복지관,,,,,,,,,,,
노원구,주간보호시설,섬김주간보호센터,,,,,,,,,,,
노원구,주간보호시설,성민,,,,,,,,,,,
노원구,복지관,성민장애인복지관,,,,,,,,,,,
노원구,거주(유형별＊중증＊영유아)시설,쉼터요양원,,,,,,,,,,,
노원구,복지관,시립노원시각장애인복지관,,,,,,,,,,,
노원구,복지관,시립뇌성마비복지관,,,,,,,,,,,
노원구,주간보호시설,오뚜기뇌성마비,,,,,,,,,,,
노원구,주간보호시설,장애우 가족지원센터,,,,,,,,,,,
노원구,주간보호시설,중계주간,,,,,,,,,,,
노원구,거주(유형별＊중증＊영유아)시설,천애재활원,,,,,,,,,,,
노원구,주간보호시설,평화장애인,,,,,,,,,,,
노원구,주간보호시설,해찬나래(상계),,,,,,,,,,,
도봉구,주간보호시설,그린도봉주간보호센터,,,,,,,,,,,
도봉구,수화통역센터,도봉구수화통역센터,,,,,,,,,,,
도봉구,단기보호시설,도봉단지보호시설,,,,,,,,,,,
도봉구,복지관,도봉장애인종합복지관,,,,,,,,,,,
도봉구,주간보호시설,도봉주간보호센터,,,,,,,,,,,
도봉구,공동생활가정,동천하우스 4,,,,,,,,,,,
도봉구,공동생활가정,동천하우스 7,,,,,,,,,,,
도봉구,공동생활가정,동천하우스 8,,,,,,,,,,,
도봉구,공동생활가정,동천하우스3,,,,,,,,,,,
도봉구,거주(유형별＊중증＊영유아)시설,인강원,,,,,,,,,,,
도봉구,주간보호시설,주간보호시설 인강원,,,,,,,,,,,
도봉구,주간보호시설,주바라기해피홈 주간보호,,,,,,,,,,,
도봉구,주간보호시설,지앤지,,,,,,,,,,,
도봉구,주간보호시설,피어라희망센터,,,,,,,,,,,
동대문구,수화통역센터,동대문구수화통역센터,,,,,,,,,,,
동대문구,복지관,동대문장애인 복지관,,,,,,,,,,,
동대문구,복지관,동문장애인복지관,,,,,,,,,,,
동대문구,주간보호시설,아름드리,,,,,,,,,,,
동대문구,단기보호시설,하늘꿈터 장애인 단기보호시설,,,,,,,,,,,
동작구,수화통역센터,동작구수화통역센터,,,,,,,,,,,
동작구,주간보호시설,디딤돌,,,,,,,,,,,
동작구,주간보호시설,사랑손주간보호,,,,,,,,,,,
동작구,거주(유형별＊중증＊영유아)시설,삼성농아원,,,,,,,,,,,
동작구,복지관,삼성소리샘복지관,,,,,,,,,,,
동작구,주간보호시설,서울남부주간보호센터,,,,,,,,,,,
동작구,복지관,서울시립남부장애인종합복지관,,,,,,,,,,,
동작구,복지관,서울시립지적장애인복지관,,,,,,,,,,,
동작구,주간보호시설,서울시립지적장애인복지관 주간보호시설,,,,,,,,,,,
마포구,단기보호시설,계명원,,,,,,,,,,,
마포구,거주(유형별＊중증＊영유아)시설,마리스타의집,,,,,,,,,,,
마포구,수화통역센터,마포구수화통역센터,,,,,,,,,,,
마포구,복지관,마포장애인종합복지관,,,,,,,,,,,
마포구,주간보호시설,마포장애인종합복지관,,,,,,,,,,,
마포구,단기보호시설,맑음터 단기보호센터,,,,,,,,,,,
마포구,주간보호시설,우리마포장애인주간이용(보호)센터,,,,,,,,,,,
마포구,재활체육시설,푸르메스포츠센터,,,,,,,,,,,
마포구,의료재활시설,푸르메재단넥슨어린이재활병원,,,,,,,,,,,
마포구,주간보호시설,하나렘넌트,,,,,,,,,,,
마포구,단기보호시설,한벗둥지,,,,,,,,,,,
서대문구,주간보호시설,다솜,,,,,,,,,,,
서대문구,주간보호시설,다솜장애인주간보호센터,,,,,,,,,,,
서대문구,주간보호시설,서대문 주간보호,,,,,,,,,,,
서대문구,수화통역센터,서대문구 수화통역센터,,,,,,,,,,,
서대문구,복지관,서대문농아인복지관,,,,,,,,,,,
서대문구,복지관,서대문장애인복지관,,,,,,,,,,,
서대문구,복지관,서대문장애인종합복지관,,,,,,,,,,,
서대문구,주간보호시설,서대문장애인주간보호센터,,,,,,,,,,,
서대문구,수화통역센터,서울시수화통역센터 지원본부,,,,,,,,,,,
서대문구,단기보호시설,서은단기보호센터,,,,,,,,,,,
서대문구,단기보호시설,서은단기보호시설,,,,,,,,,,,
서대문구,복지관,시립서대문농아인복지관,,,,,,,,,,,
서대문구,단기보호시설,시립서대문단기보호센터,,,,,,,,,,,
서초구,주간보호시설,까리따스장애인주간보호,,,,,,,,,,,
서초구,단기보호시설,다니엘,,,,,,,,,,,
서초구,주간보호시설,다니엘방배 주간보호센터,,,,,,,,,,,
서초구,거주(유형별＊중증＊영유아)시설,다니엘복지원,,,,,,,,,,,
서초구,주간보호시설,다니엘주간보호센터,,,,,,,,,,,
서초구,주간보호시설,바우뫼,,,,,,,,,,,
서초구,단기보호시설,사랑단기보호센터,,,,,,,,,,,
서초구,복지관,사랑의복지관,,,,,,,,,,,
서초구,복지관,사랑의복지관,,,,,,,,,,,
서초구,거주(유형별＊중증＊영유아)시설,새빛맹인재활원,,,,,,,,,,,
서초구,주간보호시설,서리풀,,,,,,,,,,,
서초구,복지관,서초구립 한우리정보문화센터,,,,,,,,,,,
서초구,수화통역센터,서초수화통역센터,,,,,,,,,,,
서초구,주간보호시설,서초여성회관주간보호센터,,,,,,,,,,,
서초구,단기보호시설,신망애의 집,,,,,,,,,,,
서초구,주간보호시설,하늘동산,,,,,,,,,,,
성동구,수화통역센터,성동구수화통역센터,,,,,,,,,,,
성동구,복지관,성동장애인종합복지관,,,,,,,,,,,
성동구,주간보호시설,성동장애인종합복지관,,,,,,,,,,,
성동구,의료재활시설,성동재활의원,,,,,,,,,,,
성동구,주간보호시설,성모주간보호센터,,,,,,,,,,,
성북구,수화통역센터,성북수화통역센터,,,,,,,,,,,
성북구,복지관,성북시각장애인복지관,,,,,,,,,,,
성북구,복지관,성북장애인복지관,,,,,,,,,,,
성북구,거주(유형별＊중증＊영유아)시설,승가원(舊 상락원),,,,,,,,,,,
성북구,단기보호시설,행복플러스 단기보호시설,,,,,,,,,,,
송파구,주간보호시설,THE 채움,,,,,,,,,,,
송파구,주간보호시설,렘넌트,,,,,,,,,,,
송파구,거주(유형별＊중증＊영유아)시설,루디아의 집,,,,,,,,,,,
송파구,거주(유형별＊중증＊영유아)시설,루디아의집,,,,,,,,,,,
송파구,주간보호시설,마라주간보호,,,,,,,,,,,
송파구,주간보호시설,무지개주간보호,,,,,,,,,,,
송파구,복지관,방이복지관,,,,,,,,,,,
송파구,복지관,방이장애인복지관,,,,,,,,,,,
송파구,주간보호시설,사랑나눔,,,,,,,,,,,
송파구,주간보호시설,사랑나눔주간보호,,,,,,,,,,,
송파구,주간보호시설,삼전 주간보호,,,,,,,,,,,
송파구,주간보호시설,삼전장애인주간보호시설,,,,,,,,,,,
송파구,거주(유형별＊중증＊영유아)시설,새생명의 집,,,,,,,,,,,
